size,level,rep,ms,ok
1024,3,2,26.884,1
1024,3,3,27.024,1
1024,3,4,25.784,1
1024,3,5,29.579,1
1024,3,6,38.633,1
1024,3,7,40.530,1
1024,3,8,46.794,1
1024,3,9,41.180,1
1024,4,0,43.285,1
1024,4,1,30.257,1
1024,4,2,28.092,1
1024,4,3,26.615,1
1024,4,4,24.857,1
1024,4,5,24.545,1
1024,4,6,29.204,1
1024,4,7,26.262,1
1024,4,8,22.253,1
1024,4,9,23.937,1
1024,5,0,23.471,1
1024,5,1,22.992,1
1024,5,2,23.276,1
1024,5,3,21.908,1
1024,5,4,21.626,1
1024,5,5,30.950,1
1024,5,6,60.752,1
1024,5,7,68.345,1
1024,5,8,27.112,1
1024,5,9,34.703,1
1024,6,0,25.795,1
1024,6,1,24.440,1
1024,6,2,24.509,1
1024,6,3,20.780,1
1024,6,4,25.252,1
1024,6,5,26.566,1
1024,6,6,32.441,1
1024,6,7,36.292,1
1024,6,8,26.267,1
1024,6,9,21.987,1
1024,cublas_e2e,0,16.331,1
1024,cublas_e2e,1,16.125,1
1024,cublas_e2e,2,16.379,1
1024,cublas_e2e,3,16.592,1
1024,cublas_e2e,4,16.654,1
1024,cublas_e2e,5,16.110,1
1024,cublas_e2e,6,16.271,1
1024,cublas_e2e,7,16.218,1
1024,cublas_e2e,8,17.007,1
1024,cublas_e2e,9,16.979,1
1024,cublas_kernel,0,1.648,1
1024,cublas_kernel,1,1.670,1
1024,cublas_kernel,2,1.651,1
1024,cublas_kernel,3,1.648,1
1024,cublas_kernel,4,1.671,1
1024,cublas_kernel,5,1.656,1
1024,cublas_kernel,6,1.672,1
1024,cublas_kernel,7,1.682,1
1024,cublas_kernel,8,1.643,1
1024,cublas_kernel,9,1.658,1
2048,2,0,308.328,1
2048,2,1,287.518,1
2048,2,2,275.126,1
2048,2,3,283.443,1
2048,2,4,275.451,1
2048,2,5,300.930,1
2048,2,6,278.330,1
2048,2,7,286.816,1
2048,2,8,283.480,1
2048,2,9,281.272,1
2048,3,0,191.753,1
2048,3,1,138.078,1
2048,3,2,133.439,1
2048,3,3,139.945,1
2048,3,4,130.076,1
2048,3,5,125.686,1
2048,3,6,134.474,1
2048,3,7,161.000,1
2048,3,8,188.344,1
2048,3,9,132.746,1
2048,4,0,131.732,1
2048,4,1,120.432,1
2048,4,2,113.560,1
2048,4,3,105.446,1
2048,4,4,101.609,1
2048,4,5,100.860,1
2048,4,6,99.978,1
2048,4,7,106.978,1
2048,4,8,163.339,1
2048,4,9,107.342,1
2048,5,0,161.828,1
2048,5,1,105.985,1
2048,5,2,99.252,1
2048,5,3,90.876,1
2048,5,4,90.805,1
2048,5,5,90.227,1
2048,5,6,103.198,1
2048,5,7,115.875,1
2048,5,8,89.152,1
2048,5,9,89.388,1
2048,6,0,136.634,1
2048,6,1,94.165,1
2048,6,2,101.193,1
2048,6,3,147.884,1
2048,6,4,148.376,1
2048,6,5,92.305,1
2048,6,6,98.517,1
2048,6,7,92.248,1
2048,6,8,91.925,1
2048,6,9,94.367,1
2048,cublas_e2e,0,82.252,1
2048,cublas_e2e,1,93.771,1
2048,cublas_e2e,2,72.016,1
2048,cublas_e2e,3,72.181,1
2048,cublas_e2e,4,62.703,1
2048,cublas_e2e,5,58.691,1
2048,cublas_e2e,6,59.573,1
2048,cublas_e2e,7,61.751,1
2048,cublas_e2e,8,57.034,1
2048,cublas_e2e,9,53.996,1
2048,cublas_kernel,0,13.138,1
2048,cublas_kernel,1,13.696,1
2048,cublas_kernel,2,13.800,1
2048,cublas_kernel,3,13.910,1
2048,cublas_kernel,4,13.758,1
2048,cublas_kernel,5,13.687,1
2048,cublas_kernel,6,13.594,1
2048,cublas_kernel,7,13.544,1
2048,cublas_kernel,8,13.533,1
2048,cublas_kernel,9,13.523,1
